ID,SMILES,dockscore
ZINC000155737055,C[C@H]1COCCN1C(=O)N[C@H](c1cccc(F)c1F)C(F)(F)F,-25.51
ZINC000135070840,C=C[C@@](C)(CC)C(=O)NC[C@@](C)(O)c1cc(C)oc1C,-27.18
ZINC000124377651,CN(CC1(O)CCCC1)C(=O)[C@H]1CCCc2sccc21,-28.99
ZINC000278468108,COc1cc(C)cc(C(=O)NC[C@H]2CC[C@@H](c3nc(C)no3)O2)c1O,-48.88
ZINC000119119820,Cn1c(=O)cccc1C(=O)N1CCN(CC(C)(C)O)CC1,-50.07
ZINC000186759171,COc1cc(C)c([C@H](C)OC(=O)C[C@@H]2CCS(=O)(=O)C2)cc1C,-29.39
ZINC000269543564,O=C(CNC(=O)[C@@]12CCC(=O)N1c1ccccc1S2)NCCO,-18.77
ZINC000346271173,O=C(NCC1(C(F)F)CC1)N1CCC=C(c2ccco2)C1,-30.8
ZINC000151625668,Cc1cc(C)n(C[C@H]2CN(C(=O)COc3ccccc3O)CCO2)n1,-33.6
ZINC000337764217,COc1ccnc(CNC(=O)c2cnn(-c3ccccc3)c2)c1,-36.34
ZINC000157736952,CC[C@@H](NS(=O)(=O)c1ccc(F)cc1C#N)[C@H]1CCCO1,-41.53
ZINC000281410150,COc1cc2c(cc1F)nccc2N[C@@H](C)CCN1CCN(C)CC1,-5.12
ZINC000297761439,CSCc1cccnc1C(=O)N[C@H](c1nccs1)C(F)(F)F,-32.08
ZINC000313800630,C[C@H]1CN(CCSc2ccc(N)cc2Cl)C[C@H](C)O1,-29.96
ZINC000355968618,CCN(C[C@H](C)O)C(=O)N[C@@H]1CC(=O)N2CCCC[C@H]12,-28.82
ZINC000431002059,CC[C@H](C)NC(=O)CCN1C(=O)[C@H]2C[C@H](C)CCN2C1=O,-23.33
ZINC000494469152,C[C@H]1C[C@H](CNC(=O)OC(C)(C)C)CN1Cc1ccc2nc[nH]c2c1,-22.18
ZINC000285154374,C[C@@H](Oc1ccc(C=O)cc1)C(=O)NCCC(=O)N1CCCCC1,-26.01
ZINC000571146392,Cn1cc(-c2ncccc2NC(=O)N[C@H]2CCCC[C@H]2CN)cn1,-23.39
ZINC000093086611,Cc1cccc(CN(Cc2cnc[nH]2)Cc2ccccn2)c1,-32.05
ZINC000346639018,C[C@@H](NC(=O)NCC1(C)CCOCC1)c1ccc(-n2cccn2)cc1,-35.59
ZINC000343046986,CN1CCc2ncnc(N[C@H]3CCn4cncc4C3)c2C1,-28.95
ZINC000089623737,Cc1cc(C(=O)NCc2ccc(C)cc2OC[C@H]2CCCO2)n(C)n1,-31.73
ZINC000129735248,O=C(Nc1nc2ccccc2n1-c1ccccc1)c1nc(=O)[nH][nH]1,-62.37
ZINC000130709247,Cc1cc(NC(=O)CCC(=O)NC2CCCC2)ccc1C(N)=O,-32.16
ZINC000451100652,CCC[C@H]1CCC[C@H]1C(=O)N1CCCN(CCOC)C(=O)C1,-12.43
ZINC000416334891,Cc1cc(CO)oc1C(=O)N(C)C(C)(C)CN1CCCC1,-19.4
ZINC000280509957,Cn1nc(Br)cc1C(=O)N1CC(C)(C#N)C1,-36.34
ZINC000339934547,CC(C)CCOC1CCN(C(=O)NC[C@@H]2CCCN2C)CC1,-17.98
ZINC000156191124,O=C(Nc1nc(-c2ccccc2F)n[nH]1)c1ccncc1F,-38.6
ZINC000530330631,CN(C)C[C@@H]1CCCCN1C(=O)[C@H]1CCC[C@@H](C(N)=O)C1,-24.13
ZINC000162542778,COC(=O)c1ccc(CN(C)[C@H]2CCS(=O)(=O)C2)s1,-31.91
ZINC000349626696,Cc1cn2c(ncc(C(=O)NC[C@@H]3CC[C@@H](CO)O3)c2=O)s1,-24.68
ZINC000564666445,C[C@H](Cc1cnc[nH]1)C(=O)N[C@@H](C1CC1)C(F)(F)F,-33.77
ZINC000527946292,CC[C@H](COC)N[C@@H]1[C@H]2Cc3cc(Cl)ccc3[C@@H]12,-17.92
ZINC000417511356,O=C(NC[C@H]1CCN(CCc2ccccc2)C1)NC[C@H]1CNCCO1,-19.58
ZINC000289531573,COc1cccc([C@H](C)NS(=O)(=O)c2c(N)noc2C)c1,-56.52
ZINC000272258096,CCC1(CO)CCN(CCC(=O)c2ccccc2)CC1,-12.06
ZINC000275573246,CCCN(C)S(=O)(=O)NCc1nnc(SC)s1,-39.59
ZINC000331010551,COC(=O)[C@@H]1[C@H](O)CCCN1C(=O)c1nccc(C)n1,-33.94
ZINC000362646618,CO[C@H](CNC(=O)COc1ccc2c(c1)CCC(=O)N2)C(C)C,-28.02
ZINC000553049079,CC(C)(C)[C@H](COc1ccccc1F)N=c1cccn[nH]1,-31.82
ZINC000417590612,Cc1ccc(C[C@H](C)NC(=O)NC[C@H]2CCNC2)c(C)c1,-16.45
ZINC000423694115,C[C@@H](CCCCN)NC(=O)[C@H]1CCn2c(cnc2C2CCCCC2)C1,-23.75
ZINC000189409207,CCCS(=O)(=O)CC(=O)NCc1cc(F)ccc1OC,-27.31
ZINC000461069345,CCC[C@H](NC[C@H]1CCN(c2ccccc2F)C1)C(=O)OCC,-26.08
ZINC000292665195,CCC(CC)[C@@H]1C[C@H](NC(=O)CCc2cncnc2)CCO1,-28.53
ZINC000418596295,CCN[C@H](C)CNC(=O)N1CC[C@@]2(CCN(Cc3ccccc3)C2)C1,-7.37
ZINC000329221111,CC(C)OCCN1CCC(/N=C(/O)[C@@H]2CCc3cccnc32)CC1,-21.33
ZINC000339557497,CCCCN(C)C(=O)C(=O)N[C@H](C)CCCC(C)C,-33.32
ZINC000493268323,CCOC(=O)Nc1ccc(C(=O)N[C@@H]2CCCCC[C@H]2C(N)=O)cc1,-29.59
ZINC000352487073,C[C@H]1CCC[C@@H](N(C)C(=O)CNS(=O)(=O)c2ccccc2)C1,-42.91
ZINC000178643998,Cc1[nH]c2ccccc2c1CCNC(=O)NC[C@]1(C)CCCC[C@@H]1O,-34.46
ZINC000185109860,CCN(c1ccc(F)cc1)S(=O)(=O)c1cc(F)cc(C(=O)O)c1,-61.43
ZINC000036391869,COCc1ccccc1C(=O)NCCN1CCCC1,-15.07
ZINC000161694915,FC(F)(F)c1ccn(C2CCN(C3CCOCC3)CC2)n1,-15.35
ZINC000408134895,C[C@H](CNS(=O)(=O)N1CC[C@H](C)C1)N1CCOCC1,-28.12
ZINC000438881746,NC(=O)CCn1ccc(=NC(=O)[C@@H](N)Cc2c[nH]c3ccccc23)[nH]1,-52.02
ZINC000346781631,CCc1cccnc1C(=O)NCc1nccc2ccccc21,-44.84
ZINC000357989684,COc1ccc2c(c1)CCC[C@H]2NC(=O)c1cn(C(C)(C)C)nn1,-23.43
ZINC000164167297,CC(C)CC[C@@H](C)NC(=O)NCCS(=O)(=O)c1ccc(F)cc1,-27.99
ZINC000378005459,CC1(O)C[C@H]2CC[C@@H](C1)N2C(=O)[C@@H]1C[C@H]1c1ccccc1Cl,-31.03
ZINC000339287911,CCOC(=O)C[C@H](O)C(=O)N1CCC[C@@H]1c1noc(C(C)C)n1,-28.83
ZINC000157081531,CCc1ncsc1NC(=O)CCc1nc(C2CCCC2)no1,-37.03
ZINC000130850069,O=C(N[C@@H]1CCO[C@H](C2CC2)C1)N1CCC[C@H]2CCC[C@@H]21,-29.08
ZINC000377649000,CCc1nc(CN2CCC[C@H](NC(=O)CC(C)(C)C)C2)no1,-35.4
ZINC000419412016,CC1CCN(CCNC(=O)C(=O)N[C@@H]2CC[C@H]3CNC[C@@H]3C2)CC1,-6.5
ZINC000488374795,NC(=O)c1ccccc1CC(=O)Nc1ccc(N2CCCC2)cn1,-38.63
ZINC000342914634,CN(CC1CC1)C(=O)C(=O)Nc1scnc1C1CC1,-44.65
ZINC000336272284,CO[C@H]1CCN(S(=O)(=O)c2cc3cc(F)ccc3o2)C1,-29.95
ZINC000275628214,Cc1nccn1-c1ccc([C@@H](C)N2CC[C@](O)(C(F)(F)F)C2)cc1,-30.55
ZINC000179503173,COC[C@@H](NC(=O)[C@@H](C)Cc1ccc(OC)cc1)C1CC1,-28.74
ZINC000528116651,O=S(=O)(C1CC1)N1CCN(c2cc(O)nc3cccnc32)CC1,-38.18
ZINC000361542026,C[C@@H](C1CC1)N(C)C(=O)c1ccc(-c2n[nH]c(C3CC3)n2)cc1,-50.92
ZINC000159296144,O=C(NC[C@@]1(O)CCc2ccccc21)c1cccc(-n2cccn2)n1,-30.13
ZINC000299365071,COC(=O)CCCCNC(=O)NCCNc1ccccn1,-29.09
ZINC000067368344,N#Cc1ccc(N2CC[C@H](C(N)=O)C2)cc1C(F)(F)F,-32.19
ZINC000368568206,Cc1ccsc1[C@@H]1C[C@H]1C(=O)N[C@@H]1CCc2nnc(C)n2C1,-38.17
ZINC000424009264,CCCOc1cccc(CC(=O)N2CCNC[C@H]2c2ccccc2)c1,-32.8
ZINC000274014293,O=C1CCCN1Cc1cccc(-c2noc(CC3CCOCC3)n2)c1,-38.54
ZINC000190902781,C[C@@](O)(CNC(=O)c1n[nH]c2c1CCCCC2)c1ccc(F)cc1,-37.26
ZINC000577989794,Cc1cccc(S(=O)(=O)NC[C@H]2CC[C@@H](c3ccccc3)O2)c1,-33.46
ZINC000496296311,CCOCCC1(CNC2CC(NC(=O)OC(C)(C)C)C2)CC1,-17.51
ZINC000301848368,N#Cc1cccc(SCCCNc2ncccn2)n1,-37.5
ZINC000279020437,CCOC(=O)[C@]1(C(C)C)CCN(C(=O)C2Cc3ccccc3C2)C1,-41.74
ZINC000433001446,COC[C@H](N[C@@H](C)c1ccc(C#N)cc1F)[C@H]1CCCO1,-29.5
ZINC000519911091,COc1ccc(CN(C)C)cc1NC(=O)NCc1ccc(F)cc1F,-22.03
ZINC000567692144,CSC[C@H](O)CNCCS(=O)(=O)c1ccc(C(C)(C)C)cc1,-25.76
ZINC000342197393,CC(=O)N1CSC[C@@H]1C(=O)N1CCCO[C@H](C(C)C)C1,-18.9
ZINC000294669457,CCc1nc(CCNC(=O)c2cnc(C3CC3)nc2)cs1,-33.59
ZINC000496953663,C[C@H](C(=O)N1CCS[C@H](C)C1)N(C)C(=O)OC(C)(C)C,-23.4
ZINC000360400564,CCN(Cc1ccncc1)C(=O)Nc1ccc(F)cn1,-38.98
ZINC000301797836,Cc1cc(N2CCN(C(=O)C3CCCCC3)CC2)c(C#N)c(C)n1,-32.06
ZINC000335320084,O=C(c1cccc2cnccc21)N1CCOCC12CC2,-31.41
ZINC000479676083,CCCC(=O)N1CSC[C@H]1C(=O)Nc1ccc(C)c(CC)c1,-27.89
ZINC000336388375,CCn1nccc1NC(=O)N[C@H]1c2ccccc2O[C@H]1C,-27.73
ZINC000448292657,CO[C@H]1CCOc2c(NC(=O)C(=O)N[C@H]3CC(=O)N(C)C3)cccc21,-26.4
ZINC000120742297,Cc1cnccc1CCNC(=O)c1ccc(F)c(F)c1F,-26.71
ZINC000339999450,Cc1ccc([C@H](C)NC(=O)C(=O)N2CC[C@@H](CC(C)C)C2)cc1,-31.93
